01 Jan 2024,153
02 Jan 2024,240
03 Jan 2024,115
04 Jan 2024,131
05 Jan 2024,94
06 Jan 2024,145
07 Jan 2024,70
08 Jan 2024,82
09 Jan 2024,240
10 Jan 2024,286
11 Jan 2024,93
12 Jan 2024,113
13 Jan 2024,292
14 Jan 2024,100
15 Jan 2024,287
16 Jan 2024,140
17 Jan 2024,90
18 Jan 2024,103
19 Jan 2024,200
20 Jan 2024,275
21 Jan 2024,140
22 Jan 2024,251
23 Jan 2024,143
24 Jan 2024,161
25 Jan 2024,83
26 Jan 2024,200
27 Jan 2024,413
28 Jan 2024,425
29 Jan 2024,217
30 Jan 2024,307
31 Jan 2024,252
01 Feb 2024,364
02 Feb 2024,200
03 Feb 2024,190
04 Feb 2024,330
05 Feb 2024,383
06 Feb 2024,331
07 Feb 2024,354
08 Feb 2024,274
09 Feb 2024,318
10 Feb 2024,390
11 Feb 2024,359
12 Feb 2024,238
13 Feb 2024,217
14 Feb 2024,451
15 Feb 2024,234
16 Feb 2024,263
17 Feb 2024,389
18 Feb 2024,215
19 Feb 2024,218
20 Feb 2024,368
21 Feb 2024,314
22 Feb 2024,290
23 Feb 2024,450
24 Feb 2024,350
25 Feb 2024,465
26 Feb 2024,392
27 Feb 2024,347
28 Feb 2024,332
29 Feb 2024,373
01 Mar 2024,520
02 Mar 2024,450
03 Mar 2024,448
04 Mar 2024,293
05 Mar 2024,197
06 Mar 2024,275
07 Mar 2024,207
08 Mar 2024,187
09 Mar 2024,541
10 Mar 2024,317
11 Mar 2024,430
12 Mar 2024,351
13 Mar 2024,730
14 Mar 2024,285
15 Mar 2024,183
16 Mar 2024,336
17 Mar 2024,386
18 Mar 2024,341
19 Mar 2024,486
20 Mar 2024,200
21 Mar 2024,266
